,open,high,low,close,volume
20201204 09:45:00,14.059999999999999,14.17,13.94,13.94,23788.0
20201204 10:00:00,13.95,14.16,13.93,14.049999999999999,22804.0
20201204 10:15:00,14.04,14.1,13.959999999999999,14.09,12101.0
20201204 10:30:00,14.11,14.2,14.049999999999999,14.139999999999999,26643.0
20201204 10:45:00,14.139999999999999,14.28,14.09,14.239999999999998,25687.0
20201204 11:00:00,14.25,14.54,14.239999999999998,14.45,54108.0
20201204 11:15:00,14.43,14.45,14.26,14.28,20501.0
20201204 11:30:00,14.28,14.35,14.27,14.33,7908.0
20201204 13:15:00,14.34,14.41,14.309999999999999,14.319999999999999,8944.0
20201204 13:30:00,14.309999999999999,14.33,14.25,14.28,6571.0
20201204 13:45:00,14.27,14.309999999999999,14.2,14.299999999999999,10251.0
20201204 14:00:00,14.299999999999999,14.389999999999999,14.28,14.33,13875.0
20201204 14:15:00,14.319999999999999,14.33,14.26,14.299999999999999,9532.0
20201204 14:30:00,14.299999999999999,14.33,14.25,14.319999999999999,10612.0
20201204 14:45:00,14.319999999999999,14.319999999999999,14.25,14.27,9851.0
20201204 15:00:00,14.27,14.299999999999999,14.229999999999999,14.25,23593.0
20201207 09:45:00,14.309999999999999,14.61,14.239999999999998,14.41,83039.0
20201207 10:00:00,14.41,14.629999999999999,14.41,14.569999999999999,48599.0
20201207 10:15:00,14.569999999999999,14.79,14.53,14.79,67754.0
20201207 10:30:00,14.79,14.87,14.75,14.86,58088.0
20201207 10:45:00,14.86,15.02,14.819999999999999,14.93,63349.0
20201207 11:00:00,14.93,14.93,14.7,14.729999999999999,34946.0
20201207 11:15:00,14.729999999999999,14.76,14.629999999999999,14.719999999999999,18590.0
20201207 11:30:00,14.719999999999999,14.84,14.709999999999999,14.79,12016.0
20201207 13:15:00,14.79,14.879999999999999,14.79,14.819999999999999,13401.0
20201207 13:30:00,14.809999999999999,14.84,14.75,14.799999999999999,8357.0
20201207 13:45:00,14.799999999999999,14.819999999999999,14.77,14.79,8296.0
20201207 14:00:00,14.78,14.799999999999999,14.719999999999999,14.729999999999999,6970.0
20201207 14:15:00,14.729999999999999,14.79,14.719999999999999,14.76,8036.0
20201207 14:30:00,14.76,14.76,14.7,14.729999999999999,8089.0
20201207 14:45:00,14.729999999999999,14.739999999999998,14.649999999999999,14.7,15309.0
20201207 15:00:00,14.69,14.739999999999998,14.68,14.719999999999999,23860.0
20201208 09:45:00,14.719999999999999,14.75,14.51,14.53,48619.0
20201208 10:00:00,14.52,14.52,14.389999999999999,14.43,36173.0
20201208 10:15:00,14.43,14.549999999999999,14.399999999999999,14.41,19403.0
20201208 10:30:00,14.399999999999999,14.42,14.209999999999999,14.299999999999999,42723.0
20201208 10:45:00,14.29,14.29,14.17,14.209999999999999,28272.0
20201208 11:00:00,14.209999999999999,14.27,14.16,14.25,15420.0
20201208 11:15:00,14.26,14.27,14.2,14.219999999999999,7475.0
20201208 11:30:00,14.219999999999999,14.299999999999999,14.16,14.28,13659.0
20201208 13:15:00,14.28,14.28,14.19,14.239999999999998,8518.0
20201208 13:30:00,14.239999999999998,14.319999999999999,14.239999999999998,14.29,7656.0
20201208 13:45:00,14.29,14.37,14.28,14.299999999999999,7126.0
20201208 14:00:00,14.299999999999999,14.319999999999999,14.27,14.309999999999999,5674.0
20201208 14:15:00,14.309999999999999,14.36,14.309999999999999,14.309999999999999,6358.0
20201208 14:30:00,14.319999999999999,14.35,14.29,14.29,8066.0
20201208 14:45:00,14.29,14.34,14.28,14.28,11587.0
20201208 15:00:00,14.28,14.33,14.229999999999999,14.33,22960.0
20201209 09:45:00,14.239999999999998,14.54,14.2,14.459999999999999,38557.0
20201209 10:00:00,14.469999999999999,14.489999999999998,14.149999999999999,14.17,26787.0
20201209 10:15:00,14.17,14.25,14.129999999999999,14.18,12615.0
20201209 10:30:00,14.18,14.229999999999999,14.149999999999999,14.2,13149.0
20201209 10:45:00,14.2,14.209999999999999,14.12,14.2,11548.0
20201209 11:00:00,14.2,14.26,14.19,14.219999999999999,5168.0
20201209 11:15:00,14.219999999999999,14.219999999999999,14.17,14.2,4454.0
20201209 11:30:00,14.19,14.229999999999999,14.149999999999999,14.16,5191.0
20201209 13:15:00,14.16,14.18,14.04,14.059999999999999,13540.0
20201209 13:30:00,14.059999999999999,14.08,13.93,13.969999999999999,23469.0
20201209 13:45:00,13.969999999999999,14.0,13.85,13.86,21215.0
20201209 14:00:00,13.86,13.879999999999999,13.77,13.799999999999999,27615.0
20201209 14:15:00,13.799999999999999,13.91,13.799999999999999,13.83,12990.0
20201209 14:30:00,13.83,13.95,13.819999999999999,13.92,16110.0
20201209 14:45:00,13.91,13.93,13.719999999999999,13.739999999999998,29331.0
20201209 15:00:00,13.739999999999998,13.75,13.629999999999999,13.649999999999999,44793.0
20201210 09:45:00,13.649999999999999,13.75,13.51,13.649999999999999,31367.0
20201210 10:00:00,13.67,13.709999999999999,13.459999999999999,13.459999999999999,22066.0
20201210 10:15:00,13.459999999999999,13.639999999999999,13.45,13.6,14376.0
20201210 10:30:00,13.6,13.61,13.51,13.52,8529.0
20201210 10:45:00,13.52,13.61,13.52,13.58,6185.0
20201210 11:00:00,13.59,13.67,13.549999999999999,13.649999999999999,6423.0
20201210 11:15:00,13.649999999999999,13.69,13.569999999999999,13.569999999999999,7552.0
20201210 11:30:00,13.569999999999999,13.58,13.43,13.479999999999999,17133.0
20201210 13:15:00,13.5,13.62,13.479999999999999,13.58,9292.0
20201210 13:30:00,13.58,13.61,13.489999999999998,13.549999999999999,9436.0
20201210 13:45:00,13.54,13.549999999999999,13.42,13.44,18859.0
20201210 14:00:00,13.44,13.469999999999999,13.399999999999999,13.42,15335.0
20201210 14:15:00,13.42,13.44,13.33,13.399999999999999,20702.0
20201210 14:30:00,13.37,13.489999999999998,13.37,13.45,12222.0
20201210 14:45:00,13.459999999999999,13.459999999999999,13.399999999999999,13.41,9015.0
20201210 15:00:00,13.41,13.459999999999999,13.399999999999999,13.45,13239.0
20201211 09:45:00,13.6,13.76,13.559999999999999,13.61,45820.0
20201211 10:00:00,13.61,13.62,13.459999999999999,13.489999999999998,22583.0
20201211 10:15:00,13.489999999999998,13.52,13.41,13.45,11722.0
20201211 10:30:00,13.44,13.45,13.209999999999999,13.219999999999999,17765.0
20201211 10:45:00,13.209999999999999,13.239999999999998,13.11,13.139999999999999,30313.0
20201211 11:00:00,13.149999999999999,13.17,13.01,13.049999999999999,21728.0
20201211 11:15:00,13.04,13.18,13.04,13.049999999999999,8328.0
20201211 11:30:00,13.059999999999999,13.1,12.879999999999999,13.01,24257.0
20201211 13:15:00,13.01,13.09,12.969999999999999,13.049999999999999,10641.0
20201211 13:30:00,13.049999999999999,13.049999999999999,12.879999999999999,12.899999999999999,11647.0
20201211 13:45:00,12.899999999999999,12.979999999999999,12.879999999999999,12.959999999999999,9679.0
20201211 14:00:00,12.95,12.959999999999999,12.879999999999999,12.889999999999999,9335.0
20201211 14:15:00,12.889999999999999,12.92,12.85,12.879999999999999,10525.0
20201211 14:30:00,12.879999999999999,12.95,12.86,12.94,8411.0
20201211 14:45:00,12.94,13.059999999999999,12.94,13.059999999999999,11331.0
20201211 15:00:00,13.059999999999999,13.129999999999999,13.049999999999999,13.11,20113.0
20201214 09:45:00,12.93,13.01,12.719999999999999,12.91,31930.0
20201214 10:00:00,12.899999999999999,12.979999999999999,12.809999999999999,12.819999999999999,17758.0
20201214 10:15:00,12.83,13.04,12.819999999999999,12.979999999999999,13908.0
20201214 10:30:00,12.979999999999999,12.979999999999999,12.87,12.92,8296.0
20201214 10:45:00,12.91,12.969999999999999,12.899999999999999,12.959999999999999,10661.0
20201214 11:00:00,12.959999999999999,13.0,12.91,12.969999999999999,6156.0
20201214 11:15:00,12.969999999999999,13.059999999999999,12.95,12.95,6216.0
20201214 11:30:00,12.959999999999999,12.989999999999998,12.93,12.95,3366.0
20201214 13:15:00,12.95,12.969999999999999,12.889999999999999,12.92,5817.0
20201214 13:30:00,12.92,13.049999999999999,12.92,13.03,6886.0
20201214 13:45:00,13.03,13.03,12.95,12.95,4709.0
20201214 14:00:00,12.959999999999999,12.959999999999999,12.899999999999999,12.899999999999999,7055.0
20201214 14:15:00,12.899999999999999,12.969999999999999,12.889999999999999,12.969999999999999,6335.0
20201214 14:30:00,12.969999999999999,12.989999999999998,12.93,12.959999999999999,7145.0
20201214 14:45:00,12.959999999999999,13.059999999999999,12.959999999999999,13.03,8769.0
20201214 15:00:00,13.02,13.049999999999999,13.02,13.049999999999999,16345.0
20201215 09:45:00,12.95,13.01,12.86,12.91,17704.0
20201215 10:00:00,12.91,12.91,12.77,12.799999999999999,17770.0
20201215 10:15:00,12.79,12.969999999999999,12.79,12.91,11153.0
20201215 10:30:00,12.92,12.95,12.899999999999999,12.94,4282.0
20201215 10:45:00,12.94,12.94,12.85,12.85,4506.0
20201215 11:00:00,12.85,12.87,12.83,12.83,5182.0
20201215 11:15:00,12.83,12.85,12.799999999999999,12.819999999999999,4721.0
20201215 11:30:00,12.819999999999999,12.84,12.77,12.809999999999999,6719.0
20201215 13:15:00,12.809999999999999,12.819999999999999,12.78,12.799999999999999,3869.0
20201215 13:30:00,12.799999999999999,12.83,12.77,12.78,8642.0
20201215 13:45:00,12.78,12.86,12.78,12.84,6114.0
20201215 14:00:00,12.84,12.889999999999999,12.83,12.86,4996.0
20201215 14:15:00,12.86,12.889999999999999,12.83,12.889999999999999,5764.0
20201215 14:30:00,12.889999999999999,12.889999999999999,12.799999999999999,12.809999999999999,6962.0
20201215 14:45:00,12.809999999999999,12.95,12.799999999999999,12.85,14646.0
20201215 15:00:00,12.85,12.899999999999999,12.85,12.87,13516.0
20201216 09:45:00,12.95,13.02,12.819999999999999,12.899999999999999,20117.0
20201216 10:00:00,12.899999999999999,12.899999999999999,12.75,12.78,12016.0
20201216 10:15:00,12.78,12.84,12.68,12.709999999999999,18014.0
20201216 10:30:00,12.7,12.729999999999999,12.649999999999999,12.66,12855.0
20201216 10:45:00,12.67,12.889999999999999,12.649999999999999,12.86,11359.0
20201216 11:00:00,12.86,12.969999999999999,12.83,12.889999999999999,21392.0
20201216 11:15:00,12.879999999999999,12.899999999999999,12.83,12.86,7284.0
20201216 11:30:00,12.87,12.879999999999999,12.84,12.85,4013.0
20201216 13:15:00,12.86,12.86,12.78,12.79,3726.0
20201216 13:30:00,12.79,12.84,12.77,12.809999999999999,5141.0
20201216 13:45:00,12.809999999999999,12.809999999999999,12.709999999999999,12.729999999999999,7369.0
20201216 14:00:00,12.729999999999999,12.77,12.69,12.709999999999999,6913.0
20201216 14:15:00,12.7,12.77,12.67,12.719999999999999,8397.0
20201216 14:30:00,12.719999999999999,12.729999999999999,12.629999999999999,12.649999999999999,15742.0
20201216 14:45:00,12.649999999999999,12.649999999999999,12.58,12.6,13291.0
20201216 15:00:00,12.6,12.61,12.51,12.6,21770.0
