,open,high,low,close,volume
20201204 09:45:00,22.22,22.22,21.979999999999997,22.060000000000002,7133.0
20201204 10:00:00,22.07,22.15,22.03,22.04,4751.0
20201204 10:15:00,22.04,22.04,21.950000000000003,21.979999999999997,8170.0
20201204 10:30:00,21.97,22.08,21.97,22.060000000000002,3723.0
20201204 10:45:00,22.060000000000002,22.07,22.04,22.060000000000002,1281.0
20201204 11:00:00,22.07,22.159999999999997,22.04,22.15,2115.0
20201204 11:15:00,22.15,22.15,22.11,22.11,1452.0
20201204 11:30:00,22.11,22.119999999999997,22.090000000000003,22.119999999999997,1535.0
20201204 13:15:00,22.119999999999997,22.159999999999997,22.07,22.159999999999997,1936.0
20201204 13:30:00,22.159999999999997,22.21,22.15,22.189999999999998,1972.0
20201204 13:45:00,22.189999999999998,22.25,22.18,22.22,3162.0
20201204 14:00:00,22.22,22.25,22.200000000000003,22.240000000000002,3169.0
20201204 14:15:00,22.240000000000002,22.240000000000002,22.189999999999998,22.22,2290.0
20201204 14:30:00,22.21,22.229999999999997,22.17,22.17,2129.0
20201204 14:45:00,22.17,22.22,22.17,22.21,2514.0
20201204 15:00:00,22.21,22.299999999999997,22.200000000000003,22.270000000000003,10352.0
20201207 09:45:00,22.119999999999997,22.259999999999998,21.92,21.939999999999998,26381.0
20201207 10:00:00,21.939999999999998,21.939999999999998,21.82,21.909999999999997,13678.0
20201207 10:15:00,21.909999999999997,21.93,21.869999999999997,21.89,7745.0
20201207 10:30:00,21.89,21.939999999999998,21.85,21.939999999999998,6894.0
20201207 10:45:00,21.939999999999998,21.96,21.840000000000003,21.85,6574.0
20201207 11:00:00,21.86,21.9,21.840000000000003,21.840000000000003,4834.0
20201207 11:15:00,21.840000000000003,21.86,21.799999999999997,21.83,11234.0
20201207 11:30:00,21.83,21.880000000000003,21.810000000000002,21.880000000000003,10093.0
20201207 13:15:00,21.880000000000003,21.9,21.83,21.86,2478.0
20201207 13:30:00,21.869999999999997,21.880000000000003,21.83,21.83,3624.0
20201207 13:45:00,21.85,21.92,21.83,21.909999999999997,4340.0
20201207 14:00:00,21.909999999999997,21.92,21.880000000000003,21.92,2142.0
20201207 14:15:00,21.92,21.939999999999998,21.9,21.92,3026.0
20201207 14:30:00,21.92,21.939999999999998,21.89,21.9,2305.0
20201207 14:45:00,21.9,21.9,21.82,21.83,7562.0
20201207 15:00:00,21.83,22.07,21.82,22.04,13128.0
20201208 09:45:00,21.75,22.08,21.75,21.979999999999997,6955.0
20201208 10:00:00,21.979999999999997,21.979999999999997,21.9,21.9,3631.0
20201208 10:15:00,21.9,21.909999999999997,21.799999999999997,21.869999999999997,5196.0
20201208 10:30:00,21.869999999999997,21.89,21.810000000000002,21.880000000000003,4602.0
20201208 10:45:00,21.86,21.89,21.810000000000002,21.82,4496.0
20201208 11:00:00,21.82,21.82,21.75,21.770000000000003,7758.0
20201208 11:15:00,21.770000000000003,21.78,21.68,21.700000000000003,11493.0
20201208 11:30:00,21.700000000000003,21.78,21.67,21.770000000000003,4406.0
20201208 13:15:00,21.770000000000003,21.82,21.740000000000002,21.810000000000002,2175.0
20201208 13:30:00,21.810000000000002,21.83,21.72,21.72,3741.0
20201208 13:45:00,21.72,21.740000000000002,21.700000000000003,21.729999999999997,5395.0
20201208 14:00:00,21.729999999999997,21.729999999999997,21.700000000000003,21.72,4049.0
20201208 14:15:00,21.71,21.75,21.71,21.72,3431.0
